Subject Code	Subject Name	Prerequisite Courses
MAT1102	DIFFERENTIAL CALCULUS & CO-ORDINATE GEOMETRY	Nil
PHY1101	PHYSICS 1	Nil
PHY1102	PHYSICS 1 LAB	Nil
ENG1101	ENGLISH READING SKILLS & PUBLIC SPEAKING	Nil
CSC1101	INTRODUCTION TO COMPUTER STUDIES	Nil
CSC1103	INTRODUCTION TO PROGRAMMING LAB	Nil
CSC1102	INTRODUCTION TO PROGRAMMING	Nil

CSC1204	DISCRETE MATHEMATICS	MAT1102, CSC1102
MAT1205	INTEGRAL CALCULUS & ORDINARY DIFFERENTIAL EQUATIONS	MAT1102
CSC1205	OBJECT ORIENTED PROGRAMMING 1	CSC1102, CSC1103
PHY1203	PHYSICS 2	PHY1101
PHY1204	PHYSICS 2 LAB	PHY1102
ENG1202	ENGLISH WRITING SKILLS & COMMUNICATIONS	ENG1101
COE2101	INTRODUCTION TO ELECTRICAL CIRCUITS	PHY1101
COE2102	INTRODUCTION TO ELECTRICAL CIRCUITS LAB	PHY1102
CHEM1101	CHEMISTRY	PHY1203
MAT2101	COMPLEX VARIABLE, LAPLACE & Z-TRANSFORMATION	MAT1205
CSC2108	INTRODUCTION TO DATABASE	CSC1205
EEE2104	ELECTRONIC DEVICES LAB	COE2102
BBA1102	PRINCIPLES OF ACCOUNTING	MAT1205
EEE2103	ELECTRONIC DEVICES	COE2101
CSC2106	DATA STRUCTURE	CSC1204, CSC1205
CSC2107	DATA STRUCTURE LAB	CSC1204, CSC1205
BAE2101	COMPUTER AIDED DESIGN & DRAFTING	Nil
CSC2211	ALGORITHMS	CSC2106
MAT2202	MATRICES, VECTORS, FOURIER ANALYSIS	MAT2101
CSC2210	OBJECT ORIENTED PROGRAMMING 2	CSC2106, CSC2108
CSC2209	OBJECT ORIENTED ANALYSIS AND DESIGN	CSC2108
BAS2101	BANGLADESH STUDIES	CSC1101
EEE3101	DIGITAL LOGIC AND CIRCUITS	EEE2103
EEE3102	DIGITAL LOGIC AND CIRCUITS LAB	EEE2104
MAT3103	COMPUTATIONAL STATISTICS AND PROBABILITY	MAT2101
CSC3113	THEORY OF COMPUTATION	CSC2211
ECO3150	PRINCIPLES OF ECONOMICS	MAT3103
ENG2103	BUSINESS COMMUNICATION	BAS2101
MAT3101	NUMERICAL METHODS FOR SCIENCE AND ENGINEERING	MAT2202
COE3103	DATA COMMUNICATION	EEE3101, EEE3102
COE3104	MICROPROCESSOR AND EMBEDDED SYSTEMS	EEE3101, EEE3102
CSC3112	SOFTWARE ENGINEERING	CSC2209
